ApplicantIncome,CoapplicantIncome,LoanAmount,LoanAmountTerm,Graduate,SelfEmployed,CreditHistory,LoanApproval,Gender_Female,Gender_Male,Gender_Unknown,Married_No,Married_Unknown,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3,PropertyArea_Rural,PropertyArea_Semiurban,PropertyArea_Urban
45830.0,15080.0,128000.0,360,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
30000.0,0.0,66000.0,360,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1
25830.0,23580.0,120000.0,360,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1
60000.0,0.0,141000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
54170.0,41960.0,267000.0,360,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1
23330.0,15160.0,95000.0,360,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1
30360.0,25040.0,158000.0,360,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
40060.0,15260.0,168000.0,360,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1
32000.0,7000.0,70000.0,360,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1
25000.0,18400.0,109000.0,360,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1
18530.0,28400.0,114000.0,360,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
12990.0,10860.0,17000.0,120,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1
49500.0,0.0,125000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
35960.0,0.0,100000.0,240,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1
35100.0,0.0,76000.0,360,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
48870.0,0.0,133000.0,360,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
76600.0,0.0,104000.0,360,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
26000.0,19110.0,116000.0,360,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
33650.0,19170.0,112000.0,360,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
37170.0,29250.0,151000.0,360,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
95600.0,0.0,191000.0,360,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
27990.0,22530.0,122000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
42260.0,10400.0,110000.0,360,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1
14420.0,0.0,35000.0,360,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
37500.0,20830.0,120000.0,360,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0
41660.0,33690.0,201000.0,360,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
31670.0,0.0,74000.0,360,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
46920.0,0.0,106000.0,360,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
35000.0,16670.0,114000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
36670.0,14590.0,144000.0,360,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0
37480.0,16680.0,110000.0,360,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
36000.0,0.0,80000.0,360,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
18000.0,12130.0,47000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
24000.0,0.0,75000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1
39410.0,23360.0,134000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
56490.0,0.0,44000.0,360,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1
58210.0,0.0,144000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1
26450.0,34400.0,120000.0,360,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
40000.0,22750.0,144000.0,360,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0
19280.0,16440.0,100000.0,360,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0
30860.0,0.0,120000.0,360,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0
42300.0,0.0,112000.0,360,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
46160.0,0.0,134000.0,360,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
27080.0,11670.0,97000.0,360,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0
21320.0,15910.0,96000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
33660.0,22000.0,135000.0,360,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
80800.0,22500.0,180000.0,360,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1
33570.0,28590.0,144000.0,360,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1
25000.0,37960.0,120000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1
30290.0,0.0,99000.0,360,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1
26090.0,34490.0,165000.0,180,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
41660.0,0.0,116000.0,360,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
57260.0,45950.0,258000.0,360,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
32000.0,22540.0,126000.0,180,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
71000.0,0.0,125000.0,60,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1
43000.0,0.0,136000.0,360,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
32080.0,30660.0,172000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1
18750.0,18750.0,97000.0,360,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0
35000.0,0.0,81000.0,300,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
52660.0,17740.0,187000.0,360,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0
37500.0,0.0,113000.0,480,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
37500.0,47500.0,176000.0,360,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
10000.0,30220.0,110000.0,360,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
31670.0,40000.0,180000.0,300,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
33330.0,21660.0,130000.0,360,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0
38460.0,0.0,111000.0,360,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0
13780.0,18810.0,167000.0,360,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
60000.0,22500.0,265000.0,360,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
39880.0,0.0,50000.0,240,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1
23660.0,25310.0,136000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
33330.0,20000.0,99000.0,360,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0
25000.0,21180.0,104000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
85660.0,0.0,210000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
56950.0,41670.0,175000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
29580.0,29000.0,131000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
62500.0,56540.0,188000.0,180,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0
32730.0,18200.0,81000.0,360,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1
41330.0,0.0,122000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
36200.0,0.0,25000.0,120,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
24840.0,23020.0,137000.0,360,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0
19770.0,9970.0,50000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
41880.0,0.0,115000.0,180,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
17590.0,35410.0,131000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
42880.0,32630.0,133000.0,180,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1
48430.0,38060.0,151000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
38160.0,7540.0,160000.0,360,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1
30520.0,10300.0,100000.0,360,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1
73330.0,0.0,120000.0,360,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
38000.0,36000.0,216000.0,360,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
20710.0,7540.0,94000.0,480,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0
53160.0,0.0,136000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
29290.0,23330.0,139000.0,360,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0
50500.0,0.0,118000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
31670.0,22830.0,154000.0,360,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0
22140.0,13980.0,85000.0,360,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1
55680.0,21420.0,175000.0,360,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
56670.0,26670.0,180000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0
41660.0,0.0,44000.0,360,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0
29570.0,0.0,81000.0,360,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0
43000.0,20140.0,194000.0,360,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0
36920.0,0.0,93000.0,360,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0
60800.0,25690.0,182000.0,360,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
20140.0,19290.0,74000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
27180.0,0.0,70000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
34590.0,0.0,25000.0,120,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
48950.0,0.0,102000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
45830.0,0.0,84000.0,360,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0
33160.0,35000.0,88000.0,360,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1
42000.0,14300.0,129000.0,360,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
50420.0,20830.0,185000.0,360,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
54170.0,0.0,168000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
69500.0,0.0,175000.0,180,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
26980.0,20340.0,122000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
23300.0,44860.0,100000.0,360,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0
15380.0,14250.0,30000.0,360,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1
100000.0,16660.0,225000.0,360,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
48600.0,8300.0,125000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
62770.0,0.0,118000.0,360,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
25770.0,37500.0,152000.0,360,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0
91660.0,0.0,244000.0,360,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
22810.0,0.0,113000.0,360,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
32540.0,0.0,50000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
60000.0,0.0,160000.0,360,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0
95380.0,0.0,187000.0,360,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1
29800.0,20830.0,120000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
45830.0,56250.0,255000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
18630.0,10410.0,98000.0,360,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
30890.0,12800.0,121000.0,360,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
41670.0,14470.0,158000.0,360,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0
93230.0,0.0,75000.0,180,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1
45830.0,0.0,112000.0,360,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0
24390.0,33330.0,129000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0
22370.0,0.0,63000.0,480,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
80000.0,0.0,200000.0,360,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0
18200.0,17690.0,95000.0,360,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0
35220.0,0.0,81000.0,180,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
57080.0,56250.0,187000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
43440.0,7360.0,87000.0,360,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
34970.0,19640.0,116000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0
20450.0,16190.0,101000.0,360,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0
37500.0,0.0,116000.0,360,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0
23330.0,14510.0,102000.0,480,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
19160.0,50630.0,67000.0,360,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
46000.0,0.0,73000.0,180,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
36250.0,0.0,108000.0,360,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0
21780.0,0.0,66000.0,300,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
23830.0,21380.0,58000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0
6740.0,52960.0,168000.0,360,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0
93280.0,0.0,188000.0,180,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0
48850.0,0.0,48000.0,360,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
60330.0,0.0,160000.0,360,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
38580.0,0.0,76000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
41910.0,0.0,120000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
31250.0,25830.0,170000.0,360,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
83330.0,37500.0,187000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
34160.0,28160.0,113000.0,360,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0
26000.0,25000.0,90000.0,360,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0
49230.0,0.0,166000.0,360,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0
35000.0,10830.0,135000.0,360,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1
39170.0,0.0,124000.0,360,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0
44080.0,0.0,120000.0,360,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0
32440.0,0.0,80000.0,360,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1
39750.0,25310.0,55000.0,360,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
24790.0,0.0,59000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
34180.0,0.0,127000.0,360,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
100000.0,0.0,214000.0,360,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
34300.0,12500.0,128000.0,360,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
77870.0,0.0,240000.0,360,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1
57030.0,0.0,130000.0,360,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0
31730.0,30210.0,137000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1
38500.0,9830.0,100000.0,360,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0
1500.0,18000.0,135000.0,360,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
37270.0,17750.0,131000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
50000.0,0.0,72000.0,360,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
42830.0,23830.0,127000.0,360,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0
22210.0,0.0,60000.0,360,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
40090.0,17170.0,116000.0,360,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0
29710.0,27910.0,144000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
62500.0,0.0,128000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
32500.0,0.0,170000.0,360,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
47350.0,0.0,138000.0,360,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
62500.0,16950.0,210000.0,360,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0
47580.0,0.0,158000.0,480,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
64000.0,0.0,200000.0,360,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
24910.0,20540.0,104000.0,360,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0
37160.0,0.0,42000.0,180,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0
31550.0,17790.0,140000.0,360,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0
55000.0,12600.0,170000.0,360,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0
57460.0,0.0,255000.0,360,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
34630.0,0.0,122000.0,360,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1
38120.0,0.0,112000.0,360,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0
33150.0,0.0,96000.0,360,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0
58190.0,50000.0,120000.0,360,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0
25100.0,19830.0,140000.0,180,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
29650.0,57010.0,155000.0,60,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
62500.0,13000.0,108000.0,360,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0
34060.0,44170.0,123000.0,360,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
60500.0,43330.0,120000.0,180,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
97030.0,0.0,112000.0,360,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1
66080.0,0.0,137000.0,180,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1
28820.0,18430.0,123000.0,480,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0
18090.0,18680.0,90000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1
16680.0,38900.0,201000.0,360,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
34270.0,0.0,138000.0,360,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
25830.0,21670.0,104000.0,360,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
30830.0,0.0,255000.0,360,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
60450.0,0.0,115000.0,360,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
52500.0,0.0,94000.0,360,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
49310.0,0.0,128000.0,360,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
20600.0,22090.0,134000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
34810.0,0.0,155000.0,36,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
72000.0,0.0,120000.0,360,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0
51660.0,0.0,128000.0,360,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
40950.0,34470.0,151000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
47080.0,13870.0,150000.0,360,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0
43330.0,18110.0,160000.0,360,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
34180.0,0.0,135000.0,360,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
28760.0,15600.0,90000.0,360,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1
32370.0,0.0,30000.0,360,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1
28330.0,18570.0,126000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
26200.0,22230.0,150000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
39000.0,0.0,90000.0,360,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0
27500.0,18420.0,115000.0,360,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0
39930.0,32740.0,207000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
31030.0,13000.0,80000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1
41000.0,0.0,124000.0,360,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0
40530.0,24260.0,158000.0,360,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
39270.0,8000.0,112000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
23010.0,9858.0,78000.0,180,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1
18110.0,16660.0,54000.0,360,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1
31580.0,30530.0,89000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
26000.0,17170.0,99000.0,300,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
37040.0,20000.0,120000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0
41240.0,0.0,115000.0,360,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0
95080.0,0.0,187000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
30750.0,24160.0,139000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0
44000.0,0.0,127000.0,360,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
31530.0,15600.0,134000.0,360,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1
54170.0,0.0,143000.0,480,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
23830.0,33340.0,172000.0,360,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
44160.0,12500.0,110000.0,360,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1
68750.0,0.0,200000.0,360,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0
46660.0,0.0,135000.0,360,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1
50000.0,25410.0,151000.0,480,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
20140.0,29250.0,113000.0,360,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
18000.0,29340.0,93000.0,360,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
28750.0,17500.0,105000.0,360,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
50000.0,0.0,132000.0,360,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0
16250.0,18030.0,96000.0,360,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1
40000.0,25000.0,140000.0,360,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
37620.0,16660.0,135000.0,360,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0
24000.0,18630.0,104000.0,360,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
76670.0,0.0,185000.0,360,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0
29170.0,0.0,84000.0,360,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0
29270.0,24050.0,111000.0,360,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
